source,provider,raw_sms,transaction_type,amount_rwf,counterpart,description,category,timestamp,is_synthetic
synthetic_mtn_momo,MTN MoMo,MoMo: RWF 1200 paid to Java House Kigali. Transaction MM100141. Remaining balance RWF 224500.,SENT,1200,Java House Kigali,Paid 1200 to Java House Kigali,Food & Dining,2026-03-14,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 5000 RWF to Liquid Telecom internet on 2026-06-13. Tx MM101557. Balance 133000 RWF.,SENT,5000,Liquid Telecom internet,Paid 5000 to Liquid Telecom internet,Utilities,2026-06-13,True
synthetic_mtn_momo,MTN MoMo,You have paid 20000 RWF to Move Kigali. Transaction ID MM100485. Fee 100 RWF. Your new balance is 248000 RWF.,SENT,20000,Move Kigali,Paid 20000 to Move Kigali,Transport,2026-03-19,True
synthetic_mtn_momo,MTN MoMo,Payment of RWF 500 to King Faisal pharmacy completed successfully. Ref MM101712. Balance: RWF 207500.,SENT,500,King Faisal pharmacy,Paid 500 to King Faisal pharmacy,Health,2026-05-24,True
synthetic_mtn_momo,MTN MoMo,Payment of RWF 3500 to loan repayment to Eric completed successfully. Ref MM102250. Balance: RWF 63500.,SENT,3500,loan repayment to Eric,Paid 3500 to loan repayment to Eric,Personal Transfer,2026-04-28,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 1500 RWF to EUCL prepaid units on 2026-02-07. Tx MM101457. Balance 230500 RWF.,SENT,1500,EUCL prepaid units,Paid 1500 to EUCL prepaid units,Utilities,2026-02-07,True
synthetic_mtn_momo,MTN MoMo,You have paid 20000 RWF to ALU course materials. Transaction ID MM101133. Fee 0 RWF. Your new balance is 193500 RWF.,SENT,20000,ALU course materials,Paid 20000 to ALU course materials,Education,2026-03-07,True
synthetic_mtn_momo,MTN MoMo,MoMo: RWF 20000 received from parent remittance. Tx MM200211. Balance RWF 331000.,RECEIVED,20000,parent remittance,Received 20000 from parent remittance,Income Received,2026-03-19,True
synthetic_mtn_momo,MTN MoMo,Payment of RWF 50000 to Kigali Taxi completed successfully. Ref MM100554. Balance: RWF 68500.,SENT,50000,Kigali Taxi,Paid 50000 to Kigali Taxi,Transport,2026-01-13,True
synthetic_mtn_momo,MTN MoMo,You have paid 3500 RWF to cooperative contribution. Transaction ID MM101993. Fee 50 RWF. Your new balance is 9000 RWF.,SENT,3500,cooperative contribution,Paid 3500 to cooperative contribution,Savings & Investments,2026-05-23,True
synthetic_mtn_momo,MTN MoMo,You have sent 3000 RWF to MTN 4G pack. TxId MM101102. Your new balance is 30000 RWF.,SENT,3000,MTN 4G pack,Paid 3000 to MTN 4G pack,Communication,2026-06-14,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 5000 RWF to bus fare Tap&Go on 2026-03-27. Tx MM100436. Balance 6500 RWF.,SENT,5000,bus fare Tap&Go,Paid 5000 to bus fare Tap&Go,Transport,2026-03-27,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 2500 RWF to student contribution on 2026-01-10. Tx MM101225. Balance 78500 RWF.,SENT,2500,student contribution,Paid 2500 to student contribution,Education,2026-01-10,True
synthetic_mtn_momo,MTN MoMo,You have paid 1000 RWF to Modern Market Kigali. Transaction ID MM100678. Fee 100 RWF. Your new balance is 224000 RWF.,SENT,1000,Modern Market Kigali,Paid 1000 to Modern Market Kigali,Groceries,2026-04-11,True
synthetic_mtn_momo,MTN MoMo,You have paid 30000 RWF to Rwanda Biomedical Centre. Transaction ID MM101614. Fee 200 RWF. Your new balance is 21000 RWF.,SENT,30000,Rwanda Biomedical Centre,Paid 30000 to Rwanda Biomedical Centre,Health,2026-05-18,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 30000 RWF to airtime recharge on 2026-06-25. Tx MM101048. Balance 82000 RWF.,SENT,30000,airtime recharge,Paid 30000 to airtime recharge,Communication,2026-06-25,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 1200 RWF to Nyabugogo market on 2026-01-02. Tx MM100862. Balance 106000 RWF.,SENT,1200,Nyabugogo market,Paid 1200 to Nyabugogo market,Groceries,2026-01-02,True
synthetic_mtn_momo,MTN MoMo,You have received 20000 RWF from family support. Transaction ID MM200365. Your new balance is 244000 RWF.,RECEIVED,20000,family support,Received 20000 from family support,Peer Transfer Received,2026-02-01,True
synthetic_mtn_momo,MTN MoMo,You have sent 5000 RWF to Nyabugogo bus. TxId MM100321. Your new balance is 142000 RWF.,SENT,5000,Nyabugogo bus,Paid 5000 to Nyabugogo bus,Transport,2026-01-14,True
synthetic_mtn_momo,MTN MoMo,You have sent 1500 RWF to investment deposit. TxId MM102087. Your new balance is 125000 RWF.,SENT,1500,investment deposit,Paid 1500 to investment deposit,Savings & Investments,2026-01-10,True
synthetic_mtn_momo,MTN MoMo,You have sent 1000 RWF to medicine purchase. TxId MM101626. Your new balance is 246500 RWF.,SENT,1000,medicine purchase,Paid 1000 to medicine purchase,Health,2026-06-14,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 8000 RWF to MTN airtime topup on 2026-06-19. Tx MM100976. Balance 92000 RWF.,SENT,8000,MTN airtime topup,Paid 8000 to MTN airtime topup,Communication,2026-06-19,True
synthetic_mtn_momo,MTN MoMo,You have sent 1200 RWF to water payment. TxId MM101397. Your new balance is 68000 RWF.,SENT,1200,water payment,Paid 1200 to water payment,Utilities,2026-06-26,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 15000 RWF to MTN airtime topup on 2026-06-20. Tx MM100999. Balance 105000 RWF.,SENT,15000,MTN airtime topup,Paid 15000 to MTN airtime topup,Communication,2026-06-20,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 2000 RWF to EUCL prepaid units on 2026-06-25. Tx MM101462. Balance 135000 RWF.,SENT,2000,EUCL prepaid units,Paid 2000 to EUCL prepaid units,Utilities,2026-06-25,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 8000 RWF to friend transfer on 2026-02-03. Tx MM102288. Balance 111000 RWF.,SENT,8000,friend transfer,Paid 8000 to friend transfer,Personal Transfer,2026-02-03,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 500 RWF to bus fare Tap&Go on 2026-04-18. Tx MM100544. Balance 248500 RWF.,SENT,500,bus fare Tap&Go,Paid 500 to bus fare Tap&Go,Transport,2026-04-18,True
synthetic_mtn_momo,MTN MoMo,You have sent 2500 RWF to Canal Plus subscription. TxId MM101444. Your new balance is 168500 RWF.,SENT,2500,Canal Plus subscription,Paid 2500 to Canal Plus subscription,Utilities,2026-01-11,True
synthetic_mtn_momo,MTN MoMo,You have paid 8000 RWF to investment app deposit. Transaction ID MM101992. Fee 200 RWF. Your new balance is 15500 RWF.,SENT,8000,investment app deposit,Paid 8000 to investment app deposit,Savings & Investments,2026-06-08,True
synthetic_mtn_momo,MTN MoMo,Payment of RWF 15000 to medicine purchase completed successfully. Ref MM101612. Balance: RWF 81000.,SENT,15000,medicine purchase,Paid 15000 to medicine purchase,Health,2026-02-04,True
synthetic_mtn_momo,MTN MoMo,You have received 5000 RWF from business customer. Transaction ID MM200198. Your new balance is 215000 RWF.,RECEIVED,5000,business customer,Received 5000 from business customer,Income Received,2026-03-02,True
synthetic_mtn_momo,MTN MoMo,You have sent 2000 RWF to Legacy Clinic. TxId MM101672. Your new balance is 53000 RWF.,SENT,2000,Legacy Clinic,Paid 2000 to Legacy Clinic,Health,2026-06-21,True
synthetic_mtn_momo,MTN MoMo,You have paid 2000 RWF to REG electricity token. Transaction ID MM101560. Fee 100 RWF. Your new balance is 213500 RWF.,SENT,2000,REG electricity token,Paid 2000 to REG electricity token,Utilities,2026-01-04,True
synthetic_mtn_momo,MTN MoMo,You have sent 20000 RWF to Rwanda Biomedical Centre. TxId MM101616. Your new balance is 209500 RWF.,SENT,20000,Rwanda Biomedical Centre,Paid 20000 to Rwanda Biomedical Centre,Health,2026-01-02,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 30000 RWF to voice bundle on 2026-06-21. Tx MM101034. Balance 166000 RWF.,SENT,30000,voice bundle,Paid 30000 to voice bundle,Communication,2026-06-21,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 500 RWF to loan repayment to Eric on 2026-02-19. Tx MM102157. Balance 46000 RWF.,SENT,500,loan repayment to Eric,Paid 500 to loan repayment to Eric,Personal Transfer,2026-02-19,True
synthetic_mtn_momo,MTN MoMo,MTN MoMo confirms you paid 12000 RWF to WASAC water bill on 2026-01-11. Tx MM101362. Balance 138000 RWF.,SENT,12000,WASAC water bill,Paid 12000 to WASAC water bill,Utilities,2026-01-11,True
synthetic_mtn_momo,MTN MoMo,You have sent 1200 RWF to family support. TxId MM102396. Your new balance is 94000 RWF.,SENT,1200,family support,Paid 1200 to family support,Personal Transfer,2026-05-17,True
synthetic_mtn_momo,MTN MoMo,You have paid 3500 RWF to saving wallet. Transaction ID MM102010. Fee 50 RWF. Your new balance is 208500 RWF.,SENT,3500,saving wallet,Paid 3500 to saving wallet,Savings & Investments,2026-03-11,True
synthetic_mtn_momo,MTN MoMo,You have paid 3000 RWF to MTN data bundle. Transaction ID MM100911. Fee 50 RWF. Your new balance is 56000 RWF.,SENT,3000,MTN data bundle,Paid 3000 to MTN data bundle,Communication,2026-02-25,True
synthetic_mtn_momo,MTN MoMo,You have paid 3500 RWF to internet subscription. Transaction ID MM101381. Fee 0 RWF. Your new balance is 170000 RWF.,SENT,3500,internet subscription,Paid 3500 to internet subscription,Utilities,2026-02-23,True
